# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes

# Warmup Iteration  14: 7789.755 ops/ms
# Warmup Iteration  15: 7791.070 ops/ms
# Warmup Iteration  16: 7790.796 ops/ms
# Warmup Iteration  17: 7849.027 ops/ms
# Warmup Iteration  18: 7854.398 ops/ms
# Warmup Iteration  19: 7845.352 ops/ms
# Warmup Iteration  20: 7854.704 ops/ms
Iteration   1: 7846.315 ops/ms
Iteration   2: 6957.845 ops/ms
Iteration   3: 7845.315 ops/ms
Iteration   4: 7855.060 ops/ms
Iteration   5: 7847.984 ops/ms
Iteration   6: 7847.186 ops/ms
Iteration   7: 7855.117 ops/ms
Iteration   8: 7847.342 ops/ms
Iteration   9: 7857.740 ops/ms
Iteration  10: 7115.219 ops/ms
Iteration  11: 7245.673 ops/ms
Iteration  12: 6957.230 ops/ms
Iteration  13: 7850.546 ops/ms
Iteration  14: 7348.424 ops/ms
Iteration  15: 7412.213 ops/ms
Iteration  16: 7857.288 ops/ms
Iteration  17: 7846.158 ops/ms
Iteration  18: 7857.440 ops/ms
Iteration  19: 7850.267 ops/ms
Iteration  20: 7847.489 ops/ms

# Run progress: 80.00% complete, ETA 00:01:20
# Fork: 9 of 10
# Warmup Iteration   1: 4127.601 ops/ms
# Warmup Iteration   2: 7929.584 ops/ms
# Warmup Iteration   3: 7928.512 ops/ms
# Warmup Iteration   4: 7981.401 ops/ms
# Warmup Iteration   5: 7952.372 ops/ms
# Warmup Iteration   6: 7997.445 ops/ms
# Warmup Iteration   7: 8006.056 ops/ms
# Warmup Iteration   8: 7994.250 ops/ms
# Warmup Iteration   9: 7882.865 ops/ms
# Warmup Iteration  10: 7024.279 ops/ms
# Warmup Iteration  11: 8006.736 ops/ms
# Warmup Iteration  12: 7996.747 ops/ms
# Warmup Iteration  13: 7997.332 ops/ms
# Warmup Iteration  14: 8005.027 ops/ms
# Warmup Iteration  15: 7995.836 ops/ms
# Warmup Iteration  16: 7995.668 ops/ms
# Warmup Iteration  17: 7996.798 ops/ms
# Warmup Iteration  18: 7990.109 ops/ms
# Warmup Iteration  19: 7975.134 ops/ms
# Warmup Iteration  20: 8009.222 ops/ms
Iteration   1: 8002.372 ops/ms
Iteration   2: 7999.151 ops/ms
Iteration   3: 7995.517 ops/ms
Iteration   4: 7975.486 ops/ms
Iteration   5: 7999.095 ops/ms
Iteration   6: 7994.335 ops/ms
Iteration   7: 7993.575 ops/ms
Iteration   8: 7991.363 ops/ms
Iteration   9: 8002.131 ops/ms
Iteration  10: 7994.384 ops/ms
Iteration  11: 8001.012 ops/ms
Iteration  12: 8008.241 ops/ms
Iteration  13: 8000.111 ops/ms
Iteration  14: 7998.907 ops/ms
Iteration  15: 8007.696 ops/ms
Iteration  16: 8000.675 ops/ms
Iteration  17: 8000.888 ops/ms
Iteration  18: 8008.037 ops/ms
Iteration  19: 7999.858 ops/ms
Iteration  20: 7997.478 ops/ms

# Run progress: 90.00% complete, ETA 00:00:40
# Fork: 10 of 10
# Warmup Iteration   1: 4466.501 ops/ms
# Warmup Iteration   2: 7871.167 ops/ms
# Warmup Iteration   3: 7961.704 ops/ms
# Warmup Iteration   4: 7998.464 ops/ms
# Warmup Iteration   5: 7974.230 ops/ms
# Warmup Iteration   6: 8029.462 ops/ms
# Warmup Iteration   7: 8032.445 ops/ms
# Warmup Iteration   8: 8025.192 ops/ms
# Warmup Iteration   9: 8026.199 ops/ms
# Warmup Iteration  10: 8027.353 ops/ms
# Warmup Iteration  11: 8028.264 ops/ms
# Warmup Iteration  12: 8029.571 ops/ms
# Warmup Iteration  13: 8024.631 ops/ms
# Warmup Iteration  14: 8027.282 ops/ms
# Warmup Iteration  15: 7998.333 ops/ms
# Warmup Iteration  16: 8024.198 ops/ms
# Warmup Iteration  17: 8029.082 ops/ms
# Warmup Iteration  18: 8020.536 ops/ms
# Warmup Iteration  19: 8028.100 ops/ms
# Warmup Iteration  20: 8031.084 ops/ms
Iteration   1: 8016.100 ops/ms
Iteration   2: 8025.270 ops/ms
Iteration   3: 8033.312 ops/ms
Iteration   4: 8015.538 ops/ms
Iteration   5: 8016.886 ops/ms
Iteration   6: 8033.035 ops/ms
Iteration   7: 8020.512 ops/ms
Iteration   8: 8025.468 ops/ms
Iteration   9: 8029.831 ops/ms
Iteration  10: 8022.442 ops/ms
Iteration  11: 8027.008 ops/ms
Iteration  12: 8030.493 ops/ms
Iteration  13: 8017.427 ops/ms
Iteration  14: 8027.772 ops/ms
Iteration  15: 8039.224 ops/ms
Iteration  16: 7953.725 ops/ms
Iteration  17: 7317.357 ops/ms
Iteration  18: 8028.230 ops/ms
Iteration  19: 8025.817 ops/ms
Iteration  20: 8028.264 ops/ms


Result "org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes":
  7807.523 ±(99.9%) 73.874 ops/ms [Average]
  (min, avg, max) = (6653.173, 7807.523, 8039.224), stdev = 312.787
  CI (99.9%): [7733.649, 7881.397] (assumes normal distribution)


# Run complete. Total time: 00:06:44

Benchmark                                                     Mode  Cnt     Score    Error   Units
AbstractStringLayoutStringEncodingBenchmark.usAsciiGetBytes  thrpt  200  7807.523 ± 73.874  ops/ms

Benchmark result is saved to log4j2/exp-RETU-STAT-out/log4j-fixed-antipatters-RETU-STAT_AbstractStringLayoutStringEncodingBenchmark_usAsciiGetBytes_retu_trial4.csv
