,Benchmark Mode,Class,Cliffs Delta Size,Cliffs Delta d,Experiment,Factor,Fixed,Full params,Measurement Unit,Method,Original,Package,Project,Unnamed: 6,Wilcoxom,New Factor
52,"Average time, time/op",HeadersBenchmark,large,0.99123211,INVO,0.918342222,224.531, (exampleHeader = SIX),ns/op,httpAddAllFast,244.496, io.netty.microbench.headers,netty,0,TRUE,-1.088918679
54,"Average time, time/op",HeadersBenchmark,large,0.974468544,INVO,0.882634097,107.5675, (exampleHeader = THREE),ns/op,httpAddAllFast,121.871, io.netty.microbench.headers,netty,0,TRUE,-1.13297232
55,"Average time, time/op",HeadersBenchmark,large,-0.866482951,INVO,1.05106464,1401.745, (exampleHeader = TWENTYTWO),ns/op,httpAddAllFast,1333.643, io.netty.microbench.headers,netty,0,TRUE,1.05106464
56,"Average time, time/op",HeadersBenchmark,small,0.250774106,INVO,0.982742394,117.991, (exampleHeader = EIGHT),ns/op,httpAddAllFastest,120.063, io.netty.microbench.headers,netty,0,FALSE,-1.017560661
57,"Average time, time/op",HeadersBenchmark,large,-0.624308449,INVO,1.119852229,174.604, (exampleHeader = ELEVEN),ns/op,httpAddAllFastest,155.917, io.netty.microbench.headers,netty,0,TRUE,1.119852229
58,"Average time, time/op",HeadersBenchmark,large,0.811983617,INVO,0.937704103,79.251, (exampleHeader = FIVE),ns/op,httpAddAllFastest,84.516, io.netty.microbench.headers,netty,0,TRUE,-1.066434493
59,"Average time, time/op",HeadersBenchmark,large,0.552079012,INVO,0.917830389,94.71, (exampleHeader = SIX),ns/op,httpAddAllFastest,103.189, io.netty.microbench.headers,netty,0,TRUE,-1.089525921
61,"Average time, time/op",HeadersBenchmark,large,0.875599819,INVO,0.843748501,52.752, (exampleHeader = THREE),ns/op,httpAddAllFastest,62.521, io.netty.microbench.headers,netty,0,TRUE,-1.185187291
62,"Average time, time/op",HeadersBenchmark,large,-0.832916667,INVO,1.226119713,348.603, (exampleHeader = TWENTYTWO),ns/op,httpAddAllFastest,284.314, io.netty.microbench.headers,netty,0,TRUE,1.226119713
63,"Average time, time/op",HeadersBenchmark,large,0.769004849,INVO,0.914566344,155.779, (exampleHeader = EIGHT),ns/op,httpGet,170.331, io.netty.microbench.headers,netty,0,TRUE,-1.093414388
64,"Average time, time/op",HeadersBenchmark,large,0.804826389,INVO,0.943411441,219.946, (exampleHeader = ELEVEN),ns/op,httpGet,233.139, io.netty.microbench.headers,netty,0,TRUE,-1.059982905
65,"Average time, time/op",HeadersBenchmark,large,0.905608207,INVO,0.855648827,92.043, (exampleHeader = FIVE),ns/op,httpGet,107.571, io.netty.microbench.headers,netty,0,TRUE,-1.168703758
66,"Average time, time/op",HeadersBenchmark,large,0.899829548,INVO,0.883473302,107.198, (exampleHeader = SIX),ns/op,httpGet,121.337, io.netty.microbench.headers,netty,0,TRUE,-1.131896117
68,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.757403921,51.8905, (exampleHeader = THREE),ns/op,httpGet,68.511, io.netty.microbench.headers,netty,0,TRUE,-1.320299477
69,"Average time, time/op",HeadersBenchmark,large,-0.597721182,INVO,1.008054825,505.853, (exampleHeader = TWENTYTWO),ns/op,httpGet,501.811, io.netty.microbench.headers,netty,0,TRUE,1.008054825
70,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.711045104,34.95, (exampleHeader = EIGHT),ns/op,httpIterate,49.153, io.netty.microbench.headers,netty,0,TRUE,-1.406380544
71,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.82141567,47.753, (exampleHeader = ELEVEN),ns/op,httpIterate,58.135, io.netty.microbench.headers,netty,0,TRUE,-1.217410424
72,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.588232249,22.724, (exampleHeader = FIVE),ns/op,httpIterate,38.631, io.netty.microbench.headers,netty,0,TRUE,-1.700008801
73,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.651307582,27.1465, (exampleHeader = SIX),ns/op,httpIterate,41.68, io.netty.microbench.headers,netty,0,TRUE,-1.535372884
75,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.481571173,14.9145, (exampleHeader = THREE),ns/op,httpIterate,30.9705, io.netty.microbench.headers,netty,0,TRUE,-2.076536257
76,"Average time, time/op",HeadersBenchmark,negligible,-0.145176873,INVO,1.007376415,94.9825, (exampleHeader = TWENTYTWO),ns/op,httpIterate,94.287, io.netty.microbench.headers,netty,0,FALSE,1.007376415
77,"Average time, time/op",HeadersBenchmark,small,-0.203401405,INVO,2.076856092,331.514, (exampleHeader = EIGHT),ns/op,httpPut,159.623, io.netty.microbench.headers,netty,0,TRUE,2.076856092
78,"Average time, time/op",HeadersBenchmark,negligible,0.071049449,INVO,0.937764798,193.783, (exampleHeader = ELEVEN),ns/op,httpPut,206.6435, io.netty.microbench.headers,netty,0,TRUE,-1.066365471
79,"Average time, time/op",HeadersBenchmark,small,-0.233636471,INVO,2.749618483,309.904, (exampleHeader = FIVE),ns/op,httpPut,112.708, io.netty.microbench.headers,netty,0,TRUE,2.749618483
80,"Average time, time/op",HeadersBenchmark,medium,-0.360100549,INVO,12.33995478,1582.846, (exampleHeader = SIX),ns/op,httpPut,128.27, io.netty.microbench.headers,netty,0,TRUE,12.33995478
82,"Average time, time/op",HeadersBenchmark,small,-0.270601005,INVO,4.223176124,343.851, (exampleHeader = THREE),ns/op,httpPut,81.42, io.netty.microbench.headers,netty,0,TRUE,4.223176124
83,"Average time, time/op",HeadersBenchmark,medium,0.441238725,INVO,0.966302722,365.074, (exampleHeader = TWENTYTWO),ns/op,httpPut,377.805, io.netty.microbench.headers,netty,0,TRUE,-1.034872382
84,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.727051651,43.65, (exampleHeader = EIGHT),ns/op,httpRemove,60.037, io.netty.microbench.headers,netty,0,TRUE,-1.375418099
85,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.780075512,58.884, (exampleHeader = ELEVEN),ns/op,httpRemove,75.485, io.netty.microbench.headers,netty,0,TRUE,-1.281927179
86,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.612412778,27.471, (exampleHeader = FIVE),ns/op,httpRemove,44.857, io.netty.microbench.headers,netty,0,TRUE,-1.632885588
87,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.65615974,32.7135, (exampleHeader = SIX),ns/op,httpRemove,49.856, io.netty.microbench.headers,netty,0,TRUE,-1.524019136
89,"Average time, time/op",HeadersBenchmark,large,1,INVO,0.486365072,16.9435, (exampleHeader = THREE),ns/op,httpRemove,34.837, io.netty.microbench.headers,netty,0,TRUE,-2.056068699
90,"Average time, time/op",HeadersBenchmark,large,0.923976608,INVO,0.91303284,119.411, (exampleHeader = TWENTYTWO),ns/op,httpRemove,130.785, io.netty.microbench.headers,netty,0,TRUE,-1.095250856
91,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,5.458687616,176523504.1, (elements = 1),ops/s,arrayList,32338085, io.netty.handler.codec,netty,0,TRUE,-5.458687616
92,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,2.139245897,50551210.31, (elements = 4),ops/s,arrayList,23630387.88, io.netty.handler.codec,netty,0,TRUE,-2.139245897
93,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,7.989115306,351564210, (elements = 1),ops/s,codecOutList,44005399.42, io.netty.handler.codec,netty,0,TRUE,-7.989115306
94,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,4.181335513,154966686.2, (elements = 4),ops/s,codecOutList,37061528.72, io.netty.handler.codec,netty,0,TRUE,-4.181335513
95,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,5.526018669,194882561.3, (elements = 1),ops/s,recyclableArrayList,35266359.55, io.netty.handler.codec,netty,0,TRUE,-5.526018669
96,"Throughput, ops/time",CodecOutputListBenchmark,large,-1,INVO,2.795942901,68669808.04, (elements = 4),ops/s,recyclableArrayList,24560518.75, io.netty.handler.codec,netty,0,TRUE,-2.795942901
0,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.937270526,24.799," (dirPath = floatCompress/, file = enumerate, strategy = lz4)",ms/op,readContinuous,12.801, io.druid.benchmark,druid,0,TRUE,1.937270526
1,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,4.995059986,21.234," (dirPath = floatCompress/, file = enumerate, strategy = none)",ms/op,readContinuous,4.251, io.druid.benchmark,druid,0,TRUE,4.995059986
2,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,1.882654181,25.734," (dirPath = floatCompress/, file = sequential, strategy = lz4)",ms/op,readContinuous,13.669, io.druid.benchmark,druid,0,TRUE,1.882654181
3,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.001412097,21.251," (dirPath = floatCompress/, file = sequential, strategy = none)",ms/op,readContinuous,4.249, io.druid.benchmark,druid,0,TRUE,5.001412097
4,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,2.026707106,24.056," (dirPath = floatCompress/, file = uniform, strategy = lz4)",ms/op,readContinuous,11.8695, io.druid.benchmark,druid,0,TRUE,2.026707106
5,"Average time, time/op",FloatCompressionBenchmark,large,-1,LOOP,5.095977417,21.663," (dirPath = floatCompress/, file = uniform, strategy = none)",ms/op,readContinuous,4.251, io.druid.benchmark,druid,0,TRUE,5.095977417
