# JMH version: 1.19
# VM version: JDK 10.0.1, VM 10.0.1+10
# VM invoker: /usr/lib/jvm/java-10-oracle/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersAndLock

# Warmup Iteration  18: 26927489.169 ops/s
# Warmup Iteration  19: 30842842.253 ops/s
# Warmup Iteration  20: 32479243.952 ops/s
Iteration   1: 30188157.769 ops/s
Iteration   2: 27194085.311 ops/s
Iteration   3: 30819746.034 ops/s
Iteration   4: 28914200.530 ops/s
Iteration   5: 30552772.672 ops/s
Iteration   6: 29633088.166 ops/s
Iteration   7: 32391700.889 ops/s
Iteration   8: 32460275.634 ops/s
Iteration   9: 32347428.696 ops/s
Iteration  10: 31353998.276 ops/s
Iteration  11: 30400722.716 ops/s
Iteration  12: 29805901.454 ops/s
Iteration  13: 30394609.790 ops/s
Iteration  14: 30831510.979 ops/s
Iteration  15: 32461299.095 ops/s
Iteration  16: 32439180.316 ops/s
Iteration  17: 30820627.326 ops/s
Iteration  18: 30856672.228 ops/s
Iteration  19: 30487655.926 ops/s
Iteration  20: 24477713.227 ops/s

# Run progress: 24.00% complete, ETA 00:25:36
# Fork: 3 of 10
# Warmup Iteration   1: 30121155.177 ops/s
# Warmup Iteration   2: 32379329.049 ops/s
# Warmup Iteration   3: 30420380.422 ops/s
# Warmup Iteration   4: 30834585.557 ops/s
# Warmup Iteration   5: 32249633.145 ops/s
# Warmup Iteration   6: 32329352.655 ops/s
# Warmup Iteration   7: 29187803.742 ops/s
# Warmup Iteration   8: 28478290.803 ops/s
# Warmup Iteration   9: 32231567.112 ops/s
# Warmup Iteration  10: 30142151.266 ops/s
# Warmup Iteration  11: 29660291.277 ops/s
# Warmup Iteration  12: 32189198.511 ops/s
# Warmup Iteration  13: 32428009.617 ops/s
# Warmup Iteration  14: 32475629.752 ops/s
# Warmup Iteration  15: 30404280.479 ops/s
# Warmup Iteration  16: 27483076.742 ops/s
# Warmup Iteration  17: 29733421.674 ops/s
# Warmup Iteration  18: 22070347.339 ops/s
# Warmup Iteration  19: 27485482.955 ops/s
# Warmup Iteration  20: 27482706.009 ops/s
Iteration   1: 29029105.706 ops/s
Iteration   2: 32476320.187 ops/s
Iteration   3: 30049203.899 ops/s
Iteration   4: 29359019.465 ops/s
Iteration   5: 32225417.435 ops/s
Iteration   6: 32334196.657 ops/s
Iteration   7: 32213282.496 ops/s
Iteration   8: 30135437.910 ops/s
Iteration   9: 29467580.230 ops/s
Iteration  10: 30304894.659 ops/s
Iteration  11: 29470397.645 ops/s
Iteration  12: 24774243.693 ops/s
Iteration  13: 29754843.584 ops/s
